Namespace(test_fraction=0.05, epochs=200, factorization_weight=0.99, regression_weight=0.01, shared_embeddings=True, logdir='run/shared=True_LF=0.99_LR=0.01')
training/Factorization Loss : 0.4622338902886196 , epoch 0
training/MSE : 3.4436153835186394 , epoch 0
training/Joint Loss : 0.4920477090824035 , epoch 0
eval/Mean Reciprocal Rank : 0.051384574516103614 , epoch 0
eval/MSE : 0.9452730417251587 , epoch 0
training/Factorization Loss : 0.30788738973518853 , epoch 1
training/MSE : 0.9058541743665613 , epoch 1
training/Joint Loss : 0.3138670614890514 , epoch 1
eval/Mean Reciprocal Rank : 0.05678238807165781 , epoch 1
eval/MSE : 0.8933939337730408 , epoch 1
training/Factorization Loss : 0.23509027067852276 , epoch 2
training/MSE : 0.8739060467930251 , epoch 2
training/Joint Loss : 0.2414784308082314 , epoch 2
eval/Mean Reciprocal Rank : 0.05798510261556285 , epoch 2
eval/MSE : 0.8830072283744812 , epoch 2
training/Factorization Loss : 0.2154244799767771 , epoch 3
training/MSE : 0.8648933098521284 , epoch 3
training/Joint Loss : 0.22191917031042038 , epoch 3
eval/Mean Reciprocal Rank : 0.058085998027755006 , epoch 3
eval/MSE : 0.8881757855415344 , epoch 3
training/Factorization Loss : 0.20601097105812 , epoch 4
training/MSE : 0.8572268836921261 , epoch 4
training/Joint Loss : 0.21252313168138587 , epoch 4
eval/Mean Reciprocal Rank : 0.05788059517809392 , epoch 4
eval/MSE : 0.8733430504798889 , epoch 4
training/Factorization Loss : 0.20018032581735684 , epoch 5
training/MSE : 0.8506327974860386 , epoch 5
training/Joint Loss : 0.20668485191881017 , epoch 5
eval/Mean Reciprocal Rank : 0.05745573420815911 , epoch 5
eval/MSE : 0.8682497143745422 , epoch 5
training/Factorization Loss : 0.19868455855275996 , epoch 6
training/MSE : 0.8444759581358202 , epoch 6
training/Joint Loss : 0.20514247394216958 , epoch 6
eval/Mean Reciprocal Rank : 0.06006464771886101 , epoch 6
eval/MSE : 0.8771816492080688 , epoch 6
training/Factorization Loss : 0.1924510203822646 , epoch 7
training/MSE : 0.8373180573345512 , epoch 7
training/Joint Loss : 0.19889969218482254 , epoch 7
eval/Mean Reciprocal Rank : 0.05933806132785401 , epoch 7
eval/MSE : 0.8638163805007935 , epoch 7
training/Factorization Loss : 0.19076053794193013 , epoch 8
training/MSE : 0.8280747452730773 , epoch 8
training/Joint Loss : 0.19713368202729892 , epoch 8
eval/Mean Reciprocal Rank : 0.06236426866096418 , epoch 8
eval/MSE : 0.8573472499847412 , epoch 8
training/Factorization Loss : 0.18657492625937666 , epoch 9
training/MSE : 0.821696487325494 , epoch 9
training/Joint Loss : 0.19292614288547988 , epoch 9
eval/Mean Reciprocal Rank : 0.06324547664175993 , epoch 9
eval/MSE : 0.8698405027389526 , epoch 9
training/Factorization Loss : 0.18374056872781566 , epoch 10
training/MSE : 0.8171050715991246 , epoch 10
training/Joint Loss : 0.1900742148019133 , epoch 10
eval/Mean Reciprocal Rank : 0.06715547728468538 , epoch 10
eval/MSE : 0.848975419998169 , epoch 10
training/Factorization Loss : 0.1822065752280015 , epoch 11
training/MSE : 0.809492093020229 , epoch 11
training/Joint Loss : 0.18847943161443997 , epoch 11
eval/Mean Reciprocal Rank : 0.06833140900239192 , epoch 11
eval/MSE : 0.8451861143112183 , epoch 11
training/Factorization Loss : 0.17732803030840813 , epoch 12
training/MSE : 0.8046621959055623 , epoch 12
training/Joint Loss : 0.18360137360631137 , epoch 12
eval/Mean Reciprocal Rank : 0.07009564339066056 , epoch 12
eval/MSE : 0.8496583700180054 , epoch 12
training/Factorization Loss : 0.17420175563423865 , epoch 13
training/MSE : 0.8001581185287044 , epoch 13
training/Joint Loss : 0.18046132086585925 , epoch 13
eval/Mean Reciprocal Rank : 0.0726187447399737 , epoch 13
eval/MSE : 0.8568124175071716 , epoch 13
training/Factorization Loss : 0.17234333480898573 , epoch 14
training/MSE : 0.7930538348292792 , epoch 14
training/Joint Loss : 0.17855044073295048 , epoch 14
eval/Mean Reciprocal Rank : 0.07500104195914185 , epoch 14
eval/MSE : 0.8556103706359863 , epoch 14
training/Factorization Loss : 0.16767328697186645 , epoch 15
training/MSE : 0.7872839743091214 , epoch 15
training/Joint Loss : 0.17386939566862838 , epoch 15
eval/Mean Reciprocal Rank : 0.07694180147662097 , epoch 15
eval/MSE : 0.8426623940467834 , epoch 15
training/Factorization Loss : 0.16483147632611053 , epoch 16
training/MSE : 0.7797431112617574 , epoch 16
training/Joint Loss : 0.1709805937303651 , epoch 16
eval/Mean Reciprocal Rank : 0.07869354173224374 , epoch 16
eval/MSE : 0.8444724678993225 , epoch 16
training/Factorization Loss : 0.1611448746895598 , epoch 17
training/MSE : 0.7726359367370605 , epoch 17
